STITCH,Gene,No_drug,No_gene
CID000002083,64582,539.0,17880.0
CID000002083,4829,539.0,3451.0
CID000002083,5540,539.0,4005.0
CID000002083,3361,539.0,2427.0
CID000002083,3362,539.0,2428.0
CID000002083,3363,539.0,2429.0
CID000002083,186,539.0,134.0
CID000002083,187,539.0,135.0
CID000002083,185,539.0,133.0
CID000002083,2587,539.0,1825.0
CID000002083,9293,539.0,6713.0
CID000002083,5021,539.0,3597.0
CID000002083,57007,539.0,16300.0
CID000002083,4986,539.0,3568.0
CID000002083,118442,539.0,14830.0
CID000002083,8477,539.0,6066.0
CID000002083,4157,539.0,3016.0
CID000002083,84109,539.0,9959.0
CID000002083,2925,539.0,2082.0
CID000002083,5956,539.0,4329.0
CID000002083,6752,539.0,4963.0
CID000002083,6753,539.0,4964.0
CID000002083,350383,539.0,10913.0
CID000002083,6751,539.0,4962.0
CID000002083,6754,539.0,4965.0
CID000002083,6755,539.0,4966.0
CID000002083,2693,539.0,1903.0
CID000002083,151,539.0,107.0
CID000002083,150,539.0,106.0
CID000002083,2862,539.0,2026.0
CID000002083,2863,539.0,2027.0
CID000002083,887,539.0,678.0
CID000002083,886,539.0,677.0
CID000002083,554,539.0,428.0
CID000002083,4886,539.0,3502.0
CID000002083,552,539.0,426.0
CID000002083,59340,539.0,16988.0
CID000002083,3062,539.0,2193.0
CID000002083,3061,539.0,2192.0
CID000002083,4923,539.0,3531.0
CID000002083,1816,539.0,1354.0
CID000002083,5729,539.0,4161.0
CID000002083,4161,539.0,3020.0
CID000002083,4160,539.0,3019.0
CID000002083,11245,539.0,8355.0
CID000002083,7201,539.0,5321.0
CID000002083,139760,539.0,6242.0
CID000002083,146,539.0,103.0
CID000002083,147,539.0,104.0
CID000002083,134391,539.0,2400.0
CID000002083,140,539.0,99.0
CID000002083,51289,539.0,14461.0
CID000002083,611,539.0,465.0
CID000002083,148,539.0,105.0
CID000002083,3355,539.0,2421.0
CID000002083,5734,539.0,4166.0
CID000002083,3357,539.0,2423.0
CID000002083,3356,539.0,2422.0
CID000002083,5731,539.0,4163.0
CID000002083,10316,539.0,7606.0
CID000002083,5733,539.0,4165.0
CID000002083,5732,539.0,4164.0
CID000002083,5739,539.0,4169.0
CID000002083,3358,539.0,2424.0
CID000002083,23620,539.0,11654.0
CID000002083,5995,539.0,4359.0
CID000002083,56413,539.0,16123.0
CID000002083,1812,539.0,1350.0
CID000002083,6915,539.0,5101.0
CID000002083,4158,539.0,3017.0
CID000002083,4159,539.0,3018.0
CID000002083,11250,539.0,8359.0
CID000002083,1814,539.0,1352.0
CID000002083,8484,539.0,6072.0
CID000002083,81491,539.0,9483.0
CID000002083,83551,539.0,9766.0
CID000002083,680,539.0,518.0
CID000002083,11255,539.0,8364.0
CID000002088,23590,161.0,11626.0
CID000002088,2224,161.0,1648.0
CID000002088,57107,161.0,16348.0
CID000002088,23623,161.0,11656.0
CID000002088,9453,161.0,6845.0
CID000003658,3269,489.0,2361.0
CID000002802,2569,82.0,1813.0
CID000002802,2568,82.0,1812.0
CID000002802,2554,82.0,1798.0
CID000002802,200959,82.0,3158.0
CID000002802,2561,82.0,1805.0
CID000002802,2560,82.0,1804.0
CID000002802,2563,82.0,1807.0
CID000002802,2562,82.0,1806.0
CID000002802,2564,82.0,1808.0
CID000002802,2570,82.0,1814.0
CID000002803,1269,186.0,958.0
CID000002803,124274,186.0,16901.0
CID000002803,2849,186.0,2017.0
CID000002803,2847,186.0,2015.0
CID000002803,2844,186.0,2012.0
CID000002803,2845,186.0,2013.0
CID000002803,2842,186.0,2010.0
CID000002803,54112,186.0,14956.0
CID000002803,136,186.0,97.0
CID000002803,135,186.0,98.0
CID000002803,134,186.0,95.0
CID000002803,10692,186.0,7915.0
CID000002803,26,186.0,18.0
CID000002803,9287,186.0,6710.0
CID000002803,9283,186.0,6708.0
CID000002803,4985,186.0,3567.0
CID000002803,4987,186.0,3571.0
CID000002803,10663,186.0,7893.0
CID000002803,4988,186.0,3570.0
CID000002803,27201,186.0,12801.0
CID000002803,4889,186.0,3504.0
CID000002803,8639,186.0,6196.0
CID000002803,221391,186.0,11917.0
CID000002803,2850,186.0,2018.0
CID000002803,84539,186.0,10181.0
CID000002803,84634,186.0,10220.0
CID000002803,4887,186.0,3503.0
CID000002803,54329,186.0,14986.0
CID000002803,54328,186.0,14985.0
CID000002803,10886,186.0,8050.0
CID000002803,10887,186.0,8051.0
CID000002803,729230,186.0,5950.0
CID000002803,23566,186.0,11609.0
CID000002803,10888,186.0,8052.0
CID000002803,9170,186.0,6622.0
CID000002803,6010,186.0,4374.0
CID000002803,56923,186.0,16239.0
CID000002803,2798,186.0,1973.0
CID000002803,128674,186.0,17551.0
CID000002803,10803,186.0,7993.0
CID000002803,319100,186.0,16266.0
CID000002803,23596,186.0,11633.0
CID000002803,94233,186.0,13038.0
CID000002803,314,186.0,225.0
CID000002803,3274,186.0,2365.0
CID000002803,285601,186.0,11507.0
CID000002803,2827,186.0,1997.0
CID000002803,53831,186.0,14902.0
CID000002803,1902,186.0,1415.0
CID000002803,338557,186.0,8041.0
CID000002803,1234,186.0,937.0
CID000002803,6580,186.0,4805.0
CID000002803,1230,186.0,933.0
CID000002803,1813,186.0,1351.0
CID000002803,1232,186.0,935.0
CID000002803,1233,186.0,936.0
CID000002803,1238,186.0,941.0
CID000002803,2837,186.0,2006.0
CID000002803,2835,186.0,2005.0
CID000002803,2834,186.0,2004.0
CID000002803,2832,186.0,2002.0
CID000002803,2831,186.0,2001.0
CID000002803,2830,186.0,2000.0
CID000002803,344561,186.0,9643.0
CID000002803,2652,186.0,1873.0
CID000002803,3354,186.0,2420.0
CID000002803,5737,186.0,4167.0
CID000002803,1241,186.0,943.0
CID000002803,8811,186.0,6343.0
CID000002803,3351,186.0,2418.0
CID000002803,83550,186.0,9765.0
CID000002803,3350,186.0,2417.0
CID000002803,623,186.0,469.0
CID000002803,2861,186.0,2025.0
CID000002803,64106,186.0,17738.0
CID000002803,3352,186.0,2419.0
CID000002803,339403,186.0,8465.0
CID000002803,153,186.0,109.0
CID000002803,7852,186.0,5746.0
CID000002803,83873,186.0,9862.0
CID000002803,152,186.0,108.0
CID000002803,155,186.0,111.0
CID000002803,9038,186.0,6507.0
CID000002803,134864,186.0,2738.0
CID000002803,64582,186.0,17880.0
CID000002803,4829,186.0,3451.0
CID000002803,5540,186.0,4005.0
CID000002803,3361,186.0,2427.0
CID000002803,3362,186.0,2428.0
CID000002803,3363,186.0,2429.0
CID000002803,186,186.0,134.0
CID000002803,187,186.0,135.0
CID000002803,185,186.0,133.0
CID000002803,2587,186.0,1825.0
CID000002803,9293,186.0,6713.0
CID000002803,5021,186.0,3597.0
CID000002803,57007,186.0,16300.0
CID000002803,4986,186.0,3568.0
CID000002803,118442,186.0,14830.0
CID000002803,8477,186.0,6066.0
CID000002803,4157,186.0,3016.0
CID000002803,84109,186.0,9959.0
CID000002803,2925,186.0,2082.0
CID000002803,5956,186.0,4329.0
CID000002803,6752,186.0,4963.0
CID000002803,6753,186.0,4964.0
CID000002803,350383,186.0,10913.0
CID000002803,6751,186.0,4962.0
CID000002803,6754,186.0,4965.0
CID000002803,6755,186.0,4966.0
CID000002803,2693,186.0,1903.0
CID000002803,151,186.0,107.0
CID000002803,150,186.0,106.0
CID000002803,2862,186.0,2026.0
CID000002803,2863,186.0,2027.0
CID000002803,887,186.0,678.0
CID000002803,886,186.0,677.0
CID000002803,554,186.0,428.0
CID000002803,4886,186.0,3502.0
CID000002803,552,186.0,426.0
CID000002803,59340,186.0,16988.0
CID000002803,3062,186.0,2193.0
CID000002803,3061,186.0,2192.0
CID000002803,4923,186.0,3531.0
CID000002803,1816,186.0,1354.0
CID000002803,5729,186.0,4161.0
CID000002803,4161,186.0,3020.0
CID000002803,4160,186.0,3019.0
CID000002803,11245,186.0,8355.0
CID000002803,7201,186.0,5321.0
CID000002803,139760,186.0,6242.0
CID000002803,146,186.0,103.0
CID000002803,147,186.0,104.0
CID000002803,134391,186.0,2400.0
CID000002803,140,186.0,99.0
CID000002803,51289,186.0,14461.0
CID000002803,611,186.0,465.0
CID000002803,148,186.0,105.0
CID000002803,3355,186.0,2421.0
CID000002803,5734,186.0,4166.0
CID000002803,3357,186.0,2423.0
CID000002803,3356,186.0,2422.0
CID000002803,5731,186.0,4163.0
CID000002803,10316,186.0,7606.0
CID000002803,5733,186.0,4165.0
CID000002803,5732,186.0,4164.0
CID000002803,5739,186.0,4169.0
CID000002803,3358,186.0,2424.0
CID000002803,23620,186.0,11654.0
CID000002803,5995,186.0,4359.0
CID000002803,56413,186.0,16123.0
CID000002803,1812,186.0,1350.0
CID000002803,6915,186.0,5101.0
CID000002803,4158,186.0,3017.0
CID000002803,4159,186.0,3018.0
CID000002803,11250,186.0,8359.0
CID000002803,1814,186.0,1352.0
CID000002803,8484,186.0,6072.0
CID000002803,81491,186.0,9483.0
CID000002803,83551,186.0,9766.0
CID000002803,680,186.0,518.0
CID000002803,11255,186.0,8364.0
CID000004932,1544,386.0,1161.0
CID000004932,155,386.0,111.0
CID000004932,3757,386.0,2705.0
CID000004932,153,386.0,109.0
CID000004932,3362,386.0,2428.0
CID000004932,1565,386.0,1173.0
CID000004932,3357,386.0,2423.0
CID000004932,3356,386.0,2422.0
CID000004932,5243,386.0,3774.0
CID000004932,6531,386.0,4761.0
CID000004932,6331,386.0,4587.0
CID000004932,3358,386.0,2424.0
CID000004932,3350,386.0,2417.0
CID000003954,1269,50.0,958.0
CID000003954,124274,50.0,16901.0
CID000003954,2849,50.0,2017.0
CID000003954,2847,50.0,2015.0
CID000003954,2844,50.0,2012.0
CID000003954,2845,50.0,2013.0
CID000003954,2842,50.0,2010.0
CID000003954,54112,50.0,14956.0
CID000003954,136,50.0,97.0
CID000003954,135,50.0,98.0
CID000003954,134,50.0,95.0
CID000003954,10692,50.0,7915.0
CID000003954,9287,50.0,6710.0
CID000003954,9283,50.0,6708.0
CID000003954,4985,50.0,3567.0
CID000003954,4987,50.0,3571.0
CID000003954,10663,50.0,7893.0
CID000003954,4988,50.0,3570.0
CID000003954,27201,50.0,12801.0
CID000003954,4889,50.0,3504.0
CID000003954,221391,50.0,11917.0
CID000003954,2850,50.0,2018.0
CID000003954,84539,50.0,10181.0
CID000003954,84634,50.0,10220.0
CID000003954,4887,50.0,3503.0
CID000003954,54329,50.0,14986.0
CID000003954,54328,50.0,14985.0
CID000003954,10886,50.0,8050.0
CID000003954,10887,50.0,8051.0
CID000003954,729230,50.0,5950.0
CID000003954,23566,50.0,11609.0
CID000003954,10888,50.0,8052.0
CID000003954,9170,50.0,6622.0
CID000003954,6010,50.0,4374.0
CID000003954,56923,50.0,16239.0
CID000003954,2798,50.0,1973.0
CID000003954,128674,50.0,17551.0
CID000003954,10803,50.0,7993.0
CID000003954,319100,50.0,16266.0
CID000003954,23596,50.0,11633.0
CID000003954,94233,50.0,13038.0
CID000003954,3274,50.0,2365.0
CID000003954,285601,50.0,11507.0
CID000003954,2827,50.0,1997.0
CID000003954,53831,50.0,14902.0
CID000003954,1902,50.0,1415.0
CID000003954,338557,50.0,8041.0
CID000003954,1234,50.0,937.0
CID000003954,1230,50.0,933.0
CID000003954,1813,50.0,1351.0
CID000003954,1232,50.0,935.0
CID000003954,1233,50.0,936.0
CID000003954,1238,50.0,941.0
CID000003954,2837,50.0,2006.0
CID000003954,2835,50.0,2005.0
CID000003954,2834,50.0,2004.0
CID000003954,2832,50.0,2002.0
CID000003954,2831,50.0,2001.0
CID000003954,2830,50.0,2000.0
CID000003954,344561,50.0,9643.0
CID000003954,2652,50.0,1873.0
CID000003954,5734,50.0,4166.0
CID000003954,5737,50.0,4167.0
CID000003954,5243,50.0,3774.0
CID000003954,1241,50.0,943.0
CID000003954,8811,50.0,6343.0
CID000003954,3351,50.0,2418.0
CID000003954,83550,50.0,9765.0
CID000003954,3350,50.0,2417.0
CID000003954,623,50.0,469.0
CID000003954,2861,50.0,2025.0
CID000003954,64106,50.0,17738.0
CID000003954,3352,50.0,2419.0
CID000003954,339403,50.0,8465.0
CID000003954,153,50.0,109.0
CID000003954,7852,50.0,5746.0
CID000003954,83873,50.0,9862.0
CID000003954,152,50.0,108.0
CID000003954,6532,50.0,4762.0
CID000003954,155,50.0,111.0
CID000003954,9038,50.0,6507.0
CID000003954,134864,50.0,2738.0
CID000003954,64582,50.0,17880.0
CID000003954,4829,50.0,3451.0
CID000003954,5540,50.0,4005.0
CID000003954,3361,50.0,2427.0
CID000003954,3362,50.0,2428.0
CID000003954,3363,50.0,2429.0
CID000003954,186,50.0,134.0
CID000003954,187,50.0,135.0
CID000003954,185,50.0,133.0
CID000003954,2587,50.0,1825.0
CID000003954,9293,50.0,6713.0
CID000003954,5021,50.0,3597.0
CID000003954,57007,50.0,16300.0
CID000003954,4986,50.0,3568.0
CID000003954,118442,50.0,14830.0
CID000003954,8477,50.0,6066.0
CID000003954,4157,50.0,3016.0
CID000003954,84109,50.0,9959.0
CID000003954,2925,50.0,2082.0
CID000003954,5956,50.0,4329.0
CID000003954,6752,50.0,4963.0
CID000003954,6753,50.0,4964.0
CID000003954,350383,50.0,10913.0
CID000003954,6751,50.0,4962.0
CID000003954,6754,50.0,4965.0
CID000003954,6755,50.0,4966.0
CID000003954,2693,50.0,1903.0
CID000003954,151,50.0,107.0
CID000003954,150,50.0,106.0
CID000003954,2862,50.0,2026.0
CID000003954,2863,50.0,2027.0
CID000003954,887,50.0,678.0
CID000003954,886,50.0,677.0
CID000003954,554,50.0,428.0
CID000003954,4886,50.0,3502.0
CID000003954,552,50.0,426.0
CID000003954,59340,50.0,16988.0
CID000003954,3062,50.0,2193.0
CID000003954,3061,50.0,2192.0
CID000003954,4923,50.0,3531.0
CID000003954,1816,50.0,1354.0
CID000003954,5729,50.0,4161.0
CID000003954,4161,50.0,3020.0
CID000003954,4160,50.0,3019.0
CID000003954,11245,50.0,8355.0
CID000003954,7201,50.0,5321.0
CID000003954,139760,50.0,6242.0
CID000003954,1565,50.0,1173.0
CID000003954,146,50.0,103.0
CID000003954,147,50.0,104.0
CID000003954,134391,50.0,2400.0
CID000003954,140,50.0,99.0
CID000003954,51289,50.0,14461.0
CID000003954,611,50.0,465.0
CID000003954,148,50.0,105.0
CID000003954,3355,50.0,2421.0
CID000003954,3354,50.0,2420.0
CID000003954,3357,50.0,2423.0
CID000003954,3356,50.0,2422.0
CID000003954,5731,50.0,4163.0
CID000003954,10316,50.0,7606.0
CID000003954,5733,50.0,4165.0
CID000003954,5732,50.0,4164.0
CID000003954,5739,50.0,4169.0
CID000003954,3358,50.0,2424.0
CID000003954,23620,50.0,11654.0
CID000003954,5995,50.0,4359.0
CID000003954,56413,50.0,16123.0
CID000003954,1812,50.0,1350.0
CID000003954,6915,50.0,5101.0
CID000003954,4158,50.0,3017.0
CID000003954,4159,50.0,3018.0
CID000003954,11250,50.0,8359.0
CID000003954,1814,50.0,1352.0
CID000003954,8484,50.0,6072.0
CID000003954,81491,50.0,9483.0
CID000003954,83551,50.0,9766.0
CID000003954,680,50.0,518.0
CID000003954,11255,50.0,8364.0
CID000000271,127018,299.0,17332.0
CID000000271,56985,299.0,16284.0
CID000000271,55616,299.0,15746.0
CID000000271,55617,299.0,15747.0
CID000000271,55347,299.0,15629.0
CID000000271,338339,299.0,7889.0
CID000000271,4025,299.0,2903.0
CID000000271,84911,299.0,10370.0
CID000000271,28999,299.0,13089.0
CID000000271,27289,299.0,12848.0
CID000000271,101060200,299.0,2648.0
CID000000271,55293,299.0,15583.0
CID000000271,115817,299.0,14105.0
CID000000271,5980,299.0,4345.0
CID000000271,90333,299.0,11925.0
CID000000271,55762,299.0,15876.0
CID000000271,7511,299.0,5548.0
CID000000271,55769,299.0,15882.0
CID000000271,51061,299.0,14277.0
CID000000271,360023,299.0,13411.0
CID000000271,3991,299.0,2882.0
CID000000271,51285,299.0,14459.0
CID000000271,116412,299.0,14213.0
CID000000271,51282,299.0,14456.0
CID000000271,3689,299.0,2647.0
CID000000271,4685,299.0,11613.0
CID000000271,53904,299.0,14916.0
CID000000271,55900,299.0,15979.0
CID000000271,55907,299.0,15985.0
CID000000271,6794,299.0,4998.0
CID000000271,6793,299.0,4997.0
CID000000271,6790,299.0,4995.0
CID000000271,10960,299.0,8117.0
CID000000271,84869,299.0,10338.0
CID000000271,84868,299.0,10337.0
CID000000271,6799,299.0,5001.0
CID000000271,4831,299.0,3453.0
CID000000271,27175,299.0,12784.0
CID000000271,55582,299.0,15716.0
CID000000271,5859,299.0,4244.0
CID000000271,3775,299.0,2723.0
CID000000271,260293,299.0,17619.0
CID000000271,3778,299.0,2725.0
CID000000271,270,299.0,190.0
CID000000271,271,299.0,191.0
CID000000271,272,299.0,192.0
CID000000271,4651,299.0,3311.0
CID000000271,4521,299.0,3212.0
CID000000271,276,299.0,196.0
CID000000271,277,299.0,197.0
CID000000271,278,299.0,198.0
CID000000271,279,299.0,199.0
CID000000271,3684,299.0,2643.0
CID000000271,283871,299.0,10766.0
CID000000271,57615,299.0,16638.0
CID000000271,26153,299.0,12386.0
CID000000271,26152,299.0,12385.0
CID000000271,140894,299.0,7176.0
CID000000271,90827,299.0,12010.0
CID000000271,404281,299.0,8206.0
CID000000271,389208,299.0,17340.0
CID000000271,81629,299.0,9547.0
CID000000271,51110,299.0,14322.0
CID000000271,63934,299.0,17675.0
CID000000271,200895,299.0,3105.0
CID000000271,7884,299.0,5762.0
CID000000271,57474,299.0,16520.0
CID000000271,9252,299.0,6684.0
CID000000271,124590,299.0,16947.0
CID000000271,57473,299.0,16519.0
CID000000271,22908,299.0,11020.0
CID000000271,108,299.0,73.0
CID000000271,109,299.0,74.0
CID000000271,22901,299.0,11013.0
CID000000271,100,299.0,65.0
CID000000271,101,299.0,66.0
CID000000271,57180,299.0,16409.0
CID000000271,107,299.0,72.0
CID000000271,57182,299.0,16411.0
CID000000271,378807,299.0,14336.0
CID000000271,79818,299.0,9014.0
CID000000271,2042,299.0,1512.0
CID000000271,84124,299.0,9960.0
CID000000271,163033,299.0,13384.0
CID000000271,140456,299.0,6786.0
CID000000271,84129,299.0,9964.0
CID000000271,79814,299.0,9010.0
CID000000271,85439,299.0,10518.0
CID000000271,342908,299.0,9362.0
CID000000271,26027,299.0,12295.0
CID000000271,4144,299.0,3003.0
CID000000271,124359,299.0,16907.0
CID000000271,80110,299.0,9183.0
CID000000271,10633,299.0,7865.0
CID000000271,203611,299.0,5154.0
CID000000271,10417,299.0,7679.0
CID000000271,53353,299.0,14862.0
CID000000271,9341,299.0,6746.0
CID000000271,133690,299.0,1840.0
CID000000271,11127,299.0,8257.0
CID000000271,2736,299.0,1928.0
CID000000271,22875,299.0,10988.0
CID000000271,10383,299.0,7651.0
CID000000271,10382,299.0,7650.0
CID000000271,10381,299.0,7649.0
CID000000271,9630,299.0,6995.0
CID000000271,10000,299.0,7328.0
CID000000271,2638,299.0,1860.0
CID000000271,84698,299.0,10262.0
CID000000271,7517,299.0,5554.0
CID000000271,7264,299.0,5352.0
CID000000271,84693,299.0,10259.0
CID000000271,7263,299.0,5351.0
CID000000271,6204,299.0,4487.0
CID000000271,11072,299.0,8213.0
CID000000271,167465,299.0,13515.0
CID000000271,90317,299.0,11916.0
CID000000271,2686,299.0,1896.0
CID000000271,2687,299.0,1897.0
CID000000271,90649,299.0,11983.0
CID000000271,26974,299.0,12661.0
CID000000271,654231,299.0,17833.0
CID000000271,5292,299.0,3813.0
CID000000271,254552,299.0,16781.0
CID000000271,9745,299.0,7102.0
CID000000271,285989,299.0,11739.0
CID000000271,10565,299.0,7806.0
CID000000271,80975,299.0,9410.0
CID000000271,1991,299.0,1468.0
CID000000271,1990,299.0,1467.0
CID000000271,1992,299.0,1469.0
CID000000271,10097,299.0,7413.0
CID000000271,10096,299.0,7412.0
CID000000271,10095,299.0,7411.0
CID000000271,10094,299.0,7410.0
CID000000271,1629,299.0,1224.0
CID000000271,9184,299.0,6632.0
CID000000271,3208,299.0,2314.0
CID000000271,83479,299.0,9744.0
CID000000271,79758,299.0,8970.0
CID000000271,169841,299.0,13568.0
CID000000271,285440,299.0,11363.0
CID000000271,8833,299.0,6365.0
CID000000271,558,299.0,429.0
CID000000271,283471,299.0,10715.0
CID000000271,284312,299.0,10829.0
CID000000271,10365,299.0,7640.0
CID000000271,7678,299.0,5640.0
CID000000271,7675,299.0,5639.0
CID000000271,7673,299.0,5638.0
CID000000271,7078,299.0,5224.0
CID000000271,7079,299.0,5227.0
CID000000271,7074,299.0,5220.0
CID000000271,7076,299.0,5222.0
CID000000271,7077,299.0,5223.0
CID000000271,7071,299.0,5217.0
CID000000271,83851,299.0,9846.0
CID000000271,253650,299.0,16316.0
CID000000271,147699,299.0,9621.0
CID000000271,284307,299.0,10827.0
CID000000271,147694,299.0,9620.0
CID000000271,23057,299.0,11140.0
CID000000271,4254,299.0,3089.0
CID000000271,5533,299.0,3998.0
CID000000271,5532,299.0,3997.0
CID000000271,5531,299.0,3996.0
CID000000271,5530,299.0,3995.0
CID000000271,5536,299.0,4001.0
CID000000271,5535,299.0,4000.0
CID000000271,5534,299.0,3999.0
CID000000271,5538,299.0,4003.0
CID000000271,146909,299.0,9467.0
CID000000271,1284,299.0,968.0
CID000000271,1287,299.0,971.0
CID000000271,8722,299.0,6268.0
CID000000271,8702,299.0,6252.0
CID000000271,728378,299.0,5526.0
CID000000271,1282,299.0,967.0
CID000000271,11164,299.0,8291.0
CID000000271,91664,299.0,12369.0
CID000000271,1289,299.0,973.0
CID000000271,1288,299.0,972.0
CID000000271,91661,299.0,12365.0
CID000000271,50700,299.0,14169.0
CID000000271,1579,299.0,1179.0
CID000000271,8766,299.0,6304.0
CID000000271,688,299.0,525.0
CID000000271,1573,299.0,1176.0
CID000000271,684,299.0,521.0
CID000000271,1571,299.0,1174.0
CID000000271,29102,299.0,13125.0
CID000000271,1577,299.0,1178.0
CID000000271,1576,299.0,1177.0
CID000000271,1349,299.0,1010.0
CID000000271,127396,299.0,17373.0
CID000000271,8382,299.0,5992.0
CID000000271,23619,299.0,11653.0
CID000000271,92797,299.0,12837.0
CID000000271,51475,299.0,14588.0
CID000000271,283659,299.0,10742.0
CID000000271,8547,299.0,6130.0
CID000000271,871,299.0,669.0
CID000000271,23617,299.0,11651.0
CID000000271,79673,299.0,8901.0
CID000000271,55110,299.0,15427.0
CID000000271,7453,299.0,5502.0
CID000000271,7450,299.0,5499.0
CID000000271,123036,299.0,16543.0
CID000000271,5624,299.0,4078.0
CID000000271,158158,299.0,12724.0
CID000000271,8493,299.0,6077.0
CID000000271,8492,299.0,6076.0
CID000000271,643418,299.0,14885.0
CID000000271,143425,299.0,8509.0
CID000000271,7690,299.0,5643.0
CID000000271,7691,299.0,5644.0
CID000000271,7692,299.0,5645.0
CID000000271,400,299.0,303.0
CID000000271,2745,299.0,1937.0
CID000000271,7699,299.0,5651.0
CID000000271,643414,299.0,14884.0
CID000000271,3834,299.0,2772.0
CID000000271,3835,299.0,2773.0
CID000000271,23474,299.0,11524.0
CID000000271,158399,299.0,12871.0
CID000000271,3832,299.0,2770.0
CID000000271,374928,299.0,13758.0
CID000000271,144348,299.0,8583.0
CID000000271,4035,299.0,2907.0
CID000000271,28983,299.0,13076.0
CID000000271,4037,299.0,2909.0
CID000000271,4036,299.0,2908.0
CID000000271,4038,299.0,2910.0
CID000000271,51279,299.0,14454.0
CID000000271,92086,299.0,12557.0
CID000000271,51274,299.0,14449.0
CID000000271,51276,299.0,14451.0
CID000000271,51277,299.0,14452.0
CID000000271,379,299.0,283.0
CID000000271,378,299.0,282.0
CID000000271,131873,299.0,613.0
CID000000271,51076,299.0,14290.0
CID000000271,7528,299.0,5560.0
CID000000271,375,299.0,280.0
CID000000271,57722,299.0,16728.0
CID000000271,377,299.0,281.0
CID000000271,55750,299.0,15864.0
CID000000271,55244,299.0,15540.0
CID000000271,51293,299.0,14465.0
CID000000271,55930,299.0,16000.0
CID000000271,340061,299.0,8510.0
CID000000271,391,299.0,294.0
CID000000271,390,299.0,293.0
CID000000271,728116,299.0,5327.0
CID000000271,399,299.0,302.0
CID000000271,54993,299.0,15338.0
CID000000271,2308,299.0,1708.0
CID000000271,6782,299.0,4988.0
CID000000271,4729,299.0,3384.0
CID000000271,4728,299.0,3383.0
CID000000271,6786,299.0,4991.0
CID000000271,84874,299.0,10342.0
CID000000271,84870,299.0,10339.0
CID000000271,4720,299.0,3377.0
CID000000271,4723,299.0,3379.0
CID000000271,4722,299.0,3378.0
CID000000271,255631,299.0,16943.0
CID000000271,93134,299.0,12932.0
CID000000271,64841,299.0,17975.0
CID000000271,2335,299.0,1733.0
CID000000271,11284,299.0,8388.0
CID000000271,3748,299.0,2696.0
