,STITCH,Gene
106,CID000002083,6753
107,CID000002083,350383
108,CID000002083,6751
109,CID000002083,6754
110,CID000002083,6755
111,CID000002083,2693
112,CID000002083,151
113,CID000002083,150
114,CID000002083,2862
115,CID000002083,2863
116,CID000002083,887
117,CID000002083,886
118,CID000002083,554
119,CID000002083,4886
120,CID000002083,552
121,CID000002083,59340
122,CID000002083,3062
123,CID000002083,3061
124,CID000002083,4923
125,CID000002083,1816
126,CID000002083,5729
127,CID000002083,4161
128,CID000002083,4160
129,CID000002083,11245
130,CID000002083,7201
131,CID000002083,139760
132,CID000002083,146
133,CID000002083,147
134,CID000002083,134391
135,CID000002083,140
136,CID000002083,51289
137,CID000002083,611
138,CID000002083,148
139,CID000002083,3355
140,CID000002083,5734
141,CID000002083,3357
142,CID000002083,3356
143,CID000002083,5731
144,CID000002083,10316
145,CID000002083,5733
146,CID000002083,5732
147,CID000002083,5739
148,CID000002083,3358
149,CID000002083,23620
150,CID000002083,5995
151,CID000002083,56413
152,CID000002083,1812
153,CID000002083,6915
154,CID000002083,4158
155,CID000002083,4159
156,CID000002083,11250
157,CID000002083,1814
158,CID000002083,8484
159,CID000002083,81491
160,CID000002083,83551
161,CID000002083,680
162,CID000002083,11255
163,CID000002088,23590
164,CID000002088,2224
165,CID000002088,57107
166,CID000002088,23623
167,CID000002088,9453
168,CID000003658,3269
169,CID000002802,2569
170,CID000002802,2568
171,CID000002802,2554
172,CID000002802,200959
173,CID000002802,2561
174,CID000002802,2560
175,CID000002802,2563
176,CID000002802,2562
177,CID000002802,2564
178,CID000002802,2570
179,CID000002803,1269
180,CID000002803,124274
181,CID000002803,2849
182,CID000002803,2847
183,CID000002803,2844
184,CID000002803,2845
185,CID000002803,2842
186,CID000002803,54112
187,CID000002803,136
188,CID000002803,135
189,CID000002803,134
190,CID000002803,10692
191,CID000002803,26
192,CID000002803,9287
193,CID000002803,9283
194,CID000002803,4985
195,CID000002803,4987
196,CID000002803,10663
197,CID000002803,4988
198,CID000002803,27201
199,CID000002803,4889
200,CID000002803,8639
201,CID000002803,221391
202,CID000002803,2850
203,CID000002803,84539
204,CID000002803,84634
205,CID000002803,4887
206,CID000002803,54329
207,CID000002803,54328
208,CID000002803,10886
209,CID000002803,10887
210,CID000002803,729230
211,CID000002803,23566
212,CID000002803,10888
213,CID000002803,9170
214,CID000002803,6010
215,CID000002803,56923
216,CID000002803,2798
217,CID000002803,128674
218,CID000002803,10803
219,CID000002803,319100
220,CID000002803,23596
221,CID000002803,94233
222,CID000002803,314
223,CID000002803,3274
224,CID000002803,285601
225,CID000002803,2827
226,CID000002803,53831
227,CID000002803,1902
228,CID000002803,338557
229,CID000002803,1234
230,CID000002803,6580
231,CID000002803,1230
232,CID000002803,1813
233,CID000002803,1232
234,CID000002803,1233
235,CID000002803,1238
236,CID000002803,2837
237,CID000002803,2835
238,CID000002803,2834
239,CID000002803,2832
240,CID000002803,2831
241,CID000002803,2830
242,CID000002803,344561
243,CID000002803,2652
244,CID000002803,3354
245,CID000002803,5737
246,CID000002803,1241
247,CID000002803,8811
248,CID000002803,3351
249,CID000002803,83550
250,CID000002803,3350
251,CID000002803,623
252,CID000002803,2861
253,CID000002803,64106
254,CID000002803,3352
255,CID000002803,339403
256,CID000002803,153
257,CID000002803,7852
258,CID000002803,83873
259,CID000002803,152
260,CID000002803,155
261,CID000002803,9038
262,CID000002803,134864
263,CID000002803,64582
264,CID000002803,4829
265,CID000002803,5540
266,CID000002803,3361
267,CID000002803,3362
268,CID000002803,3363
269,CID000002803,186
270,CID000002803,187
271,CID000002803,185
272,CID000002803,2587
273,CID000002803,9293
274,CID000002803,5021
275,CID000002803,57007
276,CID000002803,4986
277,CID000002803,118442
278,CID000002803,8477
279,CID000002803,4157
280,CID000002803,84109
281,CID000002803,2925
282,CID000002803,5956
283,CID000002803,6752
284,CID000002803,6753
285,CID000002803,350383
286,CID000002803,6751
287,CID000002803,6754
288,CID000002803,6755
289,CID000002803,2693
290,CID000002803,151
291,CID000002803,150
292,CID000002803,2862
293,CID000002803,2863
294,CID000002803,887
295,CID000002803,886
296,CID000002803,554
297,CID000002803,4886
298,CID000002803,552
299,CID000002803,59340
300,CID000002803,3062
301,CID000002803,3061
302,CID000002803,4923
303,CID000002803,1816
304,CID000002803,5729
305,CID000002803,4161
306,CID000002803,4160
307,CID000002803,11245
308,CID000002803,7201
309,CID000002803,139760
310,CID000002803,146
311,CID000002803,147
312,CID000002803,134391
313,CID000002803,140
314,CID000002803,51289
315,CID000002803,611
316,CID000002803,148
317,CID000002803,3355
318,CID000002803,5734
319,CID000002803,3357
320,CID000002803,3356
321,CID000002803,5731
322,CID000002803,10316
323,CID000002803,5733
324,CID000002803,5732
325,CID000002803,5739
326,CID000002803,3358
327,CID000002803,23620
328,CID000002803,5995
329,CID000002803,56413
330,CID000002803,1812
331,CID000002803,6915
332,CID000002803,4158
333,CID000002803,4159
334,CID000002803,11250
335,CID000002803,1814
336,CID000002803,8484
337,CID000002803,81491
338,CID000002803,83551
339,CID000002803,680
340,CID000002803,11255
341,CID000004932,1544
342,CID000004932,155
343,CID000004932,3757
344,CID000004932,153
345,CID000004932,3362
346,CID000004932,1565
347,CID000004932,3357
348,CID000004932,3356
349,CID000004932,5243
350,CID000004932,6531
351,CID000004932,6331
352,CID000004932,3358
353,CID000004932,3350
354,CID000003954,1269
355,CID000003954,124274
356,CID000003954,2849
357,CID000003954,2847
358,CID000003954,2844
359,CID000003954,2845
360,CID000003954,2842
361,CID000003954,54112
362,CID000003954,136
363,CID000003954,135
364,CID000003954,134
365,CID000003954,10692
366,CID000003954,9287
367,CID000003954,9283
368,CID000003954,4985
369,CID000003954,4987
370,CID000003954,10663
371,CID000003954,4988
372,CID000003954,27201
373,CID000003954,4889
374,CID000003954,221391
375,CID000003954,2850
376,CID000003954,84539
377,CID000003954,84634
378,CID000003954,4887
379,CID000003954,54329
380,CID000003954,54328
381,CID000003954,10886
382,CID000003954,10887
383,CID000003954,729230
384,CID000003954,23566
385,CID000003954,10888
386,CID000003954,9170
387,CID000003954,6010
388,CID000003954,56923
389,CID000003954,2798
390,CID000003954,128674
391,CID000003954,10803
392,CID000003954,319100
393,CID000003954,23596
394,CID000003954,94233
395,CID000003954,3274
396,CID000003954,285601
397,CID000003954,2827
398,CID000003954,53831
399,CID000003954,1902
400,CID000003954,338557
401,CID000003954,1234
402,CID000003954,1230
403,CID000003954,1813
404,CID000003954,1232
405,CID000003954,1233
406,CID000003954,1238
407,CID000003954,2837
408,CID000003954,2835
409,CID000003954,2834
410,CID000003954,2832
411,CID000003954,2831
412,CID000003954,2830
413,CID000003954,344561
414,CID000003954,2652
415,CID000003954,5734
416,CID000003954,5737
417,CID000003954,5243
418,CID000003954,1241
419,CID000003954,8811
420,CID000003954,3351
421,CID000003954,83550
422,CID000003954,3350
423,CID000003954,623
424,CID000003954,2861
425,CID000003954,64106
426,CID000003954,3352
427,CID000003954,339403
428,CID000003954,153
429,CID000003954,7852
430,CID000003954,83873
431,CID000003954,152
432,CID000003954,6532
433,CID000003954,155
434,CID000003954,9038
435,CID000003954,134864
436,CID000003954,64582
437,CID000003954,4829
438,CID000003954,5540
439,CID000003954,3361
440,CID000003954,3362
441,CID000003954,3363
442,CID000003954,186
443,CID000003954,187
444,CID000003954,185
445,CID000003954,2587
446,CID000003954,9293
447,CID000003954,5021
448,CID000003954,57007
449,CID000003954,4986
450,CID000003954,118442
451,CID000003954,8477
452,CID000003954,4157
453,CID000003954,84109
454,CID000003954,2925
455,CID000003954,5956
456,CID000003954,6752
457,CID000003954,6753
458,CID000003954,350383
459,CID000003954,6751
460,CID000003954,6754
461,CID000003954,6755
462,CID000003954,2693
463,CID000003954,151
464,CID000003954,150
465,CID000003954,2862
466,CID000003954,2863
467,CID000003954,887
468,CID000003954,886
469,CID000003954,554
470,CID000003954,4886
471,CID000003954,552
472,CID000003954,59340
473,CID000003954,3062
474,CID000003954,3061
475,CID000003954,4923
476,CID000003954,1816
477,CID000003954,5729
478,CID000003954,4161
479,CID000003954,4160
480,CID000003954,11245
481,CID000003954,7201
482,CID000003954,139760
483,CID000003954,1565
484,CID000003954,146
485,CID000003954,147
486,CID000003954,134391
487,CID000003954,140
488,CID000003954,51289
489,CID000003954,611
490,CID000003954,148
491,CID000003954,3355
492,CID000003954,3354
493,CID000003954,3357
494,CID000003954,3356
495,CID000003954,5731
496,CID000003954,10316
497,CID000003954,5733
498,CID000003954,5732
499,CID000003954,5739
500,CID000003954,3358
501,CID000003954,23620
502,CID000003954,5995
503,CID000003954,56413
504,CID000003954,1812
505,CID000003954,6915
506,CID000003954,4158
507,CID000003954,4159
508,CID000003954,11250
509,CID000003954,1814
510,CID000003954,8484
511,CID000003954,81491
512,CID000003954,83551
513,CID000003954,680
514,CID000003954,11255
521,CID000000271,127018
522,CID000000271,56985
523,CID000000271,55616
524,CID000000271,55617
525,CID000000271,55347
526,CID000000271,338339
527,CID000000271,4025
528,CID000000271,84911
529,CID000000271,28999
530,CID000000271,27289
531,CID000000271,101060200
532,CID000000271,55293
533,CID000000271,115817
534,CID000000271,5980
535,CID000000271,90333
536,CID000000271,55762
537,CID000000271,7511
538,CID000000271,55769
539,CID000000271,51061
540,CID000000271,360023
541,CID000000271,3991
542,CID000000271,51285
543,CID000000271,116412
544,CID000000271,51282
545,CID000000271,3689
546,CID000000271,4685
547,CID000000271,53904
548,CID000000271,55900
549,CID000000271,55907
550,CID000000271,6794
551,CID000000271,6793
552,CID000000271,6790
553,CID000000271,10960
554,CID000000271,84869
555,CID000000271,84868
556,CID000000271,6799
557,CID000000271,4831
558,CID000000271,27175
559,CID000000271,55582
560,CID000000271,5859
561,CID000000271,3775
562,CID000000271,260293
563,CID000000271,3778
564,CID000000271,270
565,CID000000271,271
566,CID000000271,272
567,CID000000271,4651
568,CID000000271,4521
569,CID000000271,276
570,CID000000271,277
571,CID000000271,278
572,CID000000271,279
573,CID000000271,3684
574,CID000000271,283871
575,CID000000271,57615
576,CID000000271,26153
577,CID000000271,26152
578,CID000000271,140894
579,CID000000271,90827
580,CID000000271,404281
581,CID000000271,389208
582,CID000000271,81629
583,CID000000271,51110
584,CID000000271,63934
585,CID000000271,200895
586,CID000000271,7884
587,CID000000271,57474
588,CID000000271,9252
589,CID000000271,124590
590,CID000000271,57473
591,CID000000271,22908
592,CID000000271,108
593,CID000000271,109
594,CID000000271,22901
595,CID000000271,100
596,CID000000271,101
597,CID000000271,57180
598,CID000000271,107
599,CID000000271,57182
600,CID000000271,378807
601,CID000000271,79818
602,CID000000271,2042
603,CID000000271,84124
604,CID000000271,163033
605,CID000000271,140456
606,CID000000271,84129
607,CID000000271,79814
608,CID000000271,85439
609,CID000000271,342908
610,CID000000271,26027
611,CID000000271,4144
612,CID000000271,124359
613,CID000000271,80110
614,CID000000271,10633
615,CID000000271,203611
616,CID000000271,10417
617,CID000000271,53353
618,CID000000271,9341
619,CID000000271,133690
620,CID000000271,11127
621,CID000000271,2736
622,CID000000271,22875
623,CID000000271,10383
624,CID000000271,10382
625,CID000000271,10381
626,CID000000271,9630
627,CID000000271,10000
628,CID000000271,2638
629,CID000000271,84698
630,CID000000271,7517
631,CID000000271,7264
632,CID000000271,84693
633,CID000000271,7263
634,CID000000271,6204
635,CID000000271,11072
636,CID000000271,167465
637,CID000000271,90317
638,CID000000271,2686
639,CID000000271,2687
640,CID000000271,90649
641,CID000000271,26974
642,CID000000271,654231
643,CID000000271,5292
644,CID000000271,254552
645,CID000000271,9745
646,CID000000271,285989
647,CID000000271,10565
648,CID000000271,80975
649,CID000000271,1991
650,CID000000271,1990
651,CID000000271,1992
652,CID000000271,10097
653,CID000000271,10096
654,CID000000271,10095
655,CID000000271,10094
656,CID000000271,1629
657,CID000000271,9184
658,CID000000271,3208
659,CID000000271,83479
660,CID000000271,79758
661,CID000000271,169841
662,CID000000271,285440
663,CID000000271,8833
664,CID000000271,558
665,CID000000271,283471
666,CID000000271,284312
667,CID000000271,10365
668,CID000000271,7678
669,CID000000271,7675
670,CID000000271,7673
671,CID000000271,7078
672,CID000000271,7079
673,CID000000271,7074
674,CID000000271,7076
675,CID000000271,7077
676,CID000000271,7071
677,CID000000271,83851
678,CID000000271,253650
679,CID000000271,147699
680,CID000000271,284307
681,CID000000271,147694
682,CID000000271,23057
683,CID000000271,4254
684,CID000000271,5533
685,CID000000271,5532
686,CID000000271,5531
687,CID000000271,5530
688,CID000000271,5536
689,CID000000271,5535
690,CID000000271,5534
691,CID000000271,5538
692,CID000000271,146909
693,CID000000271,1284
694,CID000000271,1287
695,CID000000271,8722
696,CID000000271,8702
697,CID000000271,728378
698,CID000000271,1282
699,CID000000271,11164
700,CID000000271,91664
701,CID000000271,1289
702,CID000000271,1288
703,CID000000271,91661
704,CID000000271,50700
705,CID000000271,1579
706,CID000000271,8766
707,CID000000271,688
708,CID000000271,1573
709,CID000000271,684
710,CID000000271,1571
711,CID000000271,29102
712,CID000000271,1577
713,CID000000271,1576
714,CID000000271,1349
715,CID000000271,127396
716,CID000000271,8382
717,CID000000271,23619
718,CID000000271,92797
719,CID000000271,51475
720,CID000000271,283659
721,CID000000271,8547
722,CID000000271,871
723,CID000000271,23617
724,CID000000271,79673
725,CID000000271,55110
726,CID000000271,7453
727,CID000000271,7450
728,CID000000271,123036
729,CID000000271,5624
730,CID000000271,158158
731,CID000000271,8493
732,CID000000271,8492
733,CID000000271,643418
734,CID000000271,143425
735,CID000000271,7690
736,CID000000271,7691
737,CID000000271,7692
738,CID000000271,400
739,CID000000271,2745
740,CID000000271,7699
741,CID000000271,643414
742,CID000000271,3834
743,CID000000271,3835
744,CID000000271,23474
745,CID000000271,158399
746,CID000000271,3832
747,CID000000271,374928
748,CID000000271,144348
749,CID000000271,4035
750,CID000000271,28983
751,CID000000271,4037
752,CID000000271,4036
753,CID000000271,4038
754,CID000000271,51279
755,CID000000271,92086
756,CID000000271,51274
757,CID000000271,51276
758,CID000000271,51277
759,CID000000271,379
760,CID000000271,378
761,CID000000271,131873
762,CID000000271,51076
763,CID000000271,7528
764,CID000000271,375
765,CID000000271,57722
766,CID000000271,377
767,CID000000271,55750
768,CID000000271,55244
769,CID000000271,51293
770,CID000000271,55930
771,CID000000271,340061
772,CID000000271,391
773,CID000000271,390
774,CID000000271,728116
775,CID000000271,399
776,CID000000271,54993
777,CID000000271,2308
778,CID000000271,6782
779,CID000000271,4729
780,CID000000271,4728
781,CID000000271,6786
782,CID000000271,84874
783,CID000000271,84870
784,CID000000271,4720
785,CID000000271,4723
786,CID000000271,4722
787,CID000000271,255631
788,CID000000271,93134
789,CID000000271,64841
790,CID000000271,2335
791,CID000000271,11284
792,CID000000271,3748
793,CID000000271,3749
794,CID000000271,3746
795,CID000000271,64114
796,CID000000271,3744
797,CID000000271,3745
798,CID000000271,3742
799,CID000000271,3743
800,CID000000271,3741
801,CID000000271,4620
802,CID000000271,4621
803,CID000000271,4622
804,CID000000271,4624
805,CID000000271,4626
806,CID000000271,4627
807,CID000000271,4628
808,CID000000271,4629
809,CID000000271,440387
810,CID000000271,117248
811,CID000000271,26140
812,CID000000271,140883
813,CID000000271,2271
814,CID000000271,124923
815,CID000000271,26149
816,CID000000271,7716
817,CID000000271,387496
818,CID000000271,51102
819,CID000000271,100529261
820,CID000000271,100132396
821,CID000000271,63904
822,CID000000271,7490
823,CID000000271,51109
824,CID000000271,9249
825,CID000000271,4318
826,CID000000271,57403
827,CID000000271,9534
828,CID000000271,57404
829,CID000000271,641339
830,CID000000271,199
831,CID000000271,175
832,CID000000271,174
833,CID000000271,173
834,CID000000271,3698
835,CID000000271,3699
836,CID000000271,2052
837,CID000000271,2054
838,CID000000271,2059
839,CID000000271,80108
840,CID000000271,3695
841,CID000000271,341640
842,CID000000271,3697
843,CID000000271,7980
844,CID000000271,9407
845,CID000000271,7988
846,CID000000271,10627
847,CID000000271,202559
848,CID000000271,9337
849,CID000000271,9331
850,CID000000271,10154
851,CID000000271,90075
852,CID000000271,22800
853,CID000000271,100289678
854,CID000000271,22807
855,CID000000271,64332
856,CID000000271,10398
857,CID000000271,22808
858,CID000000271,9627
859,CID000000271,9626
860,CID000000271,390980
861,CID000000271,353322
862,CID000000271,116115
863,CID000000271,54961
864,CID000000271,149041
865,CID000000271,63874
866,CID000000271,25864
867,CID000000271,2694
868,CID000000271,54413
869,CID000000271,204474
870,CID000000271,84064
871,CID000000271,84643
872,CID000000271,83592
873,CID000000271,6810
874,CID000000271,6815
875,CID000000271,83594
876,CID000000271,79400
877,CID000000271,170850
878,CID000000271,7322
879,CID000000271,256281
880,CID000000271,10085
881,CID000000271,3747
882,CID000000271,1960
883,CID000000271,1613
884,CID000000271,1962
885,CID000000271,168850
886,CID000000271,647174
887,CID000000271,91074
888,CID000000271,80818
889,CID000000271,285148
890,CID000000271,8226
891,CID000000271,29803
892,CID000000271,284541
893,CID000000271,89777
894,CID000000271,11337
895,CID000000271,23046
896,CID000000271,79633
897,CID000000271,8153
898,CID000000271,169792
899,CID000000271,9373
900,CID000000271,1544
901,CID000000271,1545
902,CID000000271,1543
903,CID000000271,1549
904,CID000000271,8710
905,CID000000271,284306
906,CID000000271,547
907,CID000000271,126070
908,CID000000271,549
909,CID000000271,284309
910,CID000000271,23604
911,CID000000271,7566
912,CID000000271,84671
913,CID000000271,7567
914,CID000000271,7564
915,CID000000271,8029
916,CID000000271,8531
917,CID000000271,8536
918,CID000000271,51440
919,CID000000271,7113
920,CID000000271,7442
921,CID000000271,11021
922,CID000000271,11020
923,CID000000271,7447
924,CID000000271,5613
925,CID000000271,7561
926,CID000000271,26251
927,CID000000271,414
928,CID000000271,415
929,CID000000271,284161
930,CID000000271,410
931,CID000000271,411
932,CID000000271,412
933,CID000000271,100287515
934,CID000000271,25953
935,CID000000271,28227
936,CID000000271,5715
937,CID000000271,374955
938,CID000000271,10212
939,CID000000271,2768
940,CID000000271,27035
941,CID000000271,65986
942,CID000000271,65989
943,CID000000271,65988
944,CID000000271,27034
945,CID000000271,26085
946,CID000000271,345062
947,CID000000271,7539
948,CID000000271,643246
949,CID000000271,51043
950,CID000000271,170591
951,CID000000271,51592
952,CID000000271,55033
953,CID000000271,5274
954,CID000000271,55922
955,CID000000271,55251
956,CID000000271,55929
957,CID000000271,7058
958,CID000000271,65217
959,CID000000271,9521
960,CID000000271,381
961,CID000000271,383
962,CID000000271,384
963,CID000000271,387
964,CID000000271,388
965,CID000000271,389
966,CID000000271,56907
967,CID000000271,201140
968,CID000000271,5272
969,CID000000271,51621
970,CID000000271,155061
971,CID000000271,5273
972,CID000000271,4756
973,CID000000271,55634
974,CID000000271,5873
975,CID000000271,5876
976,CID000000271,5874
977,CID000000271,5875
978,CID000000271,5878
979,CID000000271,5879
980,CID000000271,27153
981,CID000000271,3751
982,CID000000271,3750
983,CID000000271,3752
984,CID000000271,3755
985,CID000000271,3754
986,CID000000271,64101
987,CID000000271,4633
988,CID000000271,4632
989,CID000000271,4637
990,CID000000271,5373
991,CID000000271,2196
992,CID000000271,4634
993,CID000000271,250
994,CID000000271,220929
995,CID000000271,2200
996,CID000000271,80778
997,CID000000271,57677
998,CID000000271,2208
999,CID000000271,162239
1000,CID000000271,342892
1001,CID000000271,84720
1002,CID000000271,5464
1003,CID000000271,63917
1004,CID000000271,3908
1005,CID000000271,9501
1006,CID000000271,9507
1007,CID000000271,163131
1008,CID000000271,120892
1009,CID000000271,7846
1010,CID000000271,51032
1011,CID000000271,340706
1012,CID000000271,6277
1013,CID000000271,84100
1014,CID000000271,4830
1015,CID000000271,4833
1016,CID000000271,4832
1017,CID000000271,3687
1018,CID000000271,3685
1019,CID000000271,4520
1020,CID000000271,26048
1021,CID000000271,140458
1022,CID000000271,140459
1023,CID000000271,90485
1024,CID000000271,6198
1025,CID000000271,6199
1026,CID000000271,2735
1027,CID000000271,53371
1028,CID000000271,2737
1029,CID000000271,2730
1030,CID000000271,2195
1031,CID000000271,10168
1032,CID000000271,339906
1033,CID000000271,2738
1034,CID000000271,84838
1035,CID000000271,57094
1036,CID000000271,30827
1037,CID000000271,55811
1038,CID000000271,645027
1039,CID000000271,5054
1040,CID000000271,5055
1041,CID000000271,83855
1042,CID000000271,5050
1043,CID000000271,9188
1044,CID000000271,4338
1045,CID000000271,57502
1046,CID000000271,54997
1047,CID000000271,54995
1048,CID000000271,90113
1049,CID000000271,346157
1050,CID000000271,112939
1051,CID000000271,84651
1052,CID000000271,10509
1053,CID000000271,9761
1054,CID000000271,125061
1055,CID000000271,10501
1056,CID000000271,10505
1057,CID000000271,10507
1058,CID000000271,84250
1059,CID000000271,10634
1060,CID000000271,9296
1061,CID000000271,84258
1062,CID000000271,80117
1063,CID000000271,1974
1064,CID000000271,1973
1065,CID000000271,8858
1066,CID000000271,801
1067,CID000000271,805
1068,CID000000271,8854
1069,CID000000271,137209
1070,CID000000271,1849
1071,CID000000271,89941
1072,CID000000271,53405
1073,CID000000271,5475
1074,CID000000271,207063
1075,CID000000271,5470
1076,CID000000271,80824
1077,CID000000271,80829
1078,CID000000271,32
1079,CID000000271,10219
1080,CID000000271,1775
1081,CID000000271,1774
1082,CID000000271,5276
1083,CID000000271,2971
1084,CID000000271,5270
1085,CID000000271,5271
1086,CID000000271,1773
1087,CID000000271,347733
1088,CID000000271,79027
1089,CID000000271,7053
1090,CID000000271,7056
1091,CID000000271,54753
1092,CID000000271,5142
1093,CID000000271,1159
1094,CID000000271,1158
1095,CID000000271,8639
1096,CID000000271,301
1097,CID000000271,23071
1098,CID000000271,1553
1099,CID000000271,1152
1100,CID000000271,5518
1101,CID000000271,84290
1102,CID000000271,1555
1103,CID000000271,5515
1104,CID000000271,253190
1105,CID000000271,5516
1106,CID000000271,1551
1107,CID000000271,2999
1108,CID000000271,11108
1109,CID000000271,59
1110,CID000000271,3039
1111,CID000000271,1557
1112,CID000000271,1559
1113,CID000000271,54
1114,CID000000271,25891
1115,CID000000271,3030
1116,CID000000271,219595
1117,CID000000271,126069
1118,CID000000271,126068
1119,CID000000271,8703
1120,CID000000271,2990
1121,CID000000271,284370
1122,CID000000271,284371
1123,CID000000271,1558
1124,CID000000271,91442
1125,CID000000271,22871
1126,CID000000271,729288
1127,CID000000271,23678
1128,CID000000271,401036
1129,CID000000271,55845
1130,CID000000271,11107
1131,CID000000271,5604
1132,CID000000271,8529
1133,CID000000271,3032
1134,CID000000271,8520
1135,CID000000271,100129543
1136,CID000000271,51455
1137,CID000000271,9997
1138,CID000000271,56649
1139,CID000000271,91227
1140,CID000000271,6519
1141,CID000000271,207
1142,CID000000271,11031
1143,CID000000271,100131980
1144,CID000000271,91526
1145,CID000000271,3292
1146,CID000000271,3816
1147,CID000000271,3817
1148,CID000000271,3818
1149,CID000000271,23491
1150,CID000000271,65990
1151,CID000000271,23250
1152,CID000000271,65997
1153,CID000000271,283748
1154,CID000000271,340252
1155,CID000000271,51058
1156,CID000000271,27010
1157,CID000000271,27012
1158,CID000000271,7549
1159,CID000000271,50509
1160,CID000000271,50508
1161,CID000000271,7541
1162,CID000000271,50507
1163,CID000000271,7543
1164,CID000000271,7544
1165,CID000000271,7545
1166,CID000000271,7546
1167,CID000000271,7547
1168,CID000000271,55268
1169,CID000000271,81562
1170,CID000000271,81567
1171,CID000000271,81569
1172,CID000000271,150290
1173,CID000000271,6768
1174,CID000000271,84812
1175,CID000000271,84816
1176,CID000000271,10993
1177,CID000000271,342926
1178,CID000000271,5869
1179,CID000000271,5868
1180,CID000000271,55647
1181,CID000000271,5862
1182,CID000000271,60490
1183,CID000000271,56848
1184,CID000000271,163049
1185,CID000000271,64135
1186,CID000000271,55869
1187,CID000000271,80760
1188,CID000000271,90874
1189,CID000000271,2184
1190,CID000000271,55860
1191,CID000000271,224
1192,CID000000271,223
1193,CID000000271,222
1194,CID000000271,220
1195,CID000000271,142910
1196,CID000000271,2219
1197,CID000000271,57644
1198,CID000000271,100529240
1199,CID000000271,57642
1200,CID000000271,43847
1201,CID000000271,27232
1202,CID000000271,140625
1203,CID000000271,6690
1204,CID000000271,43849
1205,CID000000271,195828
1206,CID000000271,90589
1207,CID000000271,64005
1208,CID000000271,158
1209,CID000000271,2977
1210,CID000000271,100289635
1211,CID000000271,93973
1212,CID000000271,6341
1213,CID000000271,4519
1214,CID000000271,54675
1215,CID000000271,4512
1216,CID000000271,4513
1217,CID000000271,6809
1218,CID000000271,4514
1219,CID000000271,340385
1220,CID000000271,125893
1221,CID000000271,9420
1222,CID000000271,9423
1223,CID000000271,9422
1224,CID000000271,9424
1225,CID000000271,9427
1226,CID000000271,64895
1227,CID000000271,9601
1228,CID000000271,199777
1229,CID000000271,57336
1230,CID000000271,57335
1231,CID000000271,10172
1232,CID000000271,163081
1233,CID000000271,163087
1234,CID000000271,124411
1235,CID000000271,22829
1236,CID000000271,60678
1237,CID000000271,5045
1238,CID000000271,22824
1239,CID000000271,10371
1240,CID000000271,3782
1241,CID000000271,3783
1242,CID000000271,3781
1243,CID000000271,3786
1244,CID000000271,3787
1245,CID000000271,3784
1246,CID000000271,1800
1247,CID000000271,3788
1248,CID000000271,1808
1249,CID000000271,10773
1250,CID000000271,9512
1251,CID000000271,6237
1252,CID000000271,6236
1253,CID000000271,9519
1254,CID000000271,80010
1255,CID000000271,84628
1256,CID000000271,84622
1257,CID000000271,113457
1258,CID000000271,84627
1259,CID000000271,29122
1260,CID000000271,10518
1261,CID000000271,10519
1262,CID000000271,10243
