,No
coagulation test abnormal,525
drug effect decreased,526
herpes simplex hepatitis,527
nasal ulcer,528
prolymphocytic leukaemia,529
mesenteric vascular insufficiency,530
unresponsive to stimuli,531
benign colonic neoplasm,532
metastases to reproductive organ,533
blood gonadotrophin increased,534
nightmare,535
therapy regimen changed,536
nitrogen balance negative,537
csf immunoglobulin decreased,538
chronic eosinophilic leukaemia,539
duodenal fistula,540
shoplifting,541
obstruction,542
anti factor xii antibody positive,543
parotitis,544
adrenal cortex necrosis,545
megakaryocytes abnormal,546
computerised tomogram thorax,547
primary effusion lymphoma,548
lung infection pseudomonal,549
eisenmenger's syndrome,550
viral test positive,551
bone fistula,552
disturbance in social behaviour,553
zinc deficiency,554
protein s abnormal,555
bronchitis viral,556
oral mucosa erosion,557
vitamin d deficiency,558
faeces discoloured,559
hepatic encephalopathy,560
cns germinoma,561
bilirubin conjugated,562
disorder renal,563
breast swelling,564
limb discomfort,565
sigmoidoscopy,566
opiates,567
bronchiectasis,568
cataract subcapsular,569
facial operation,570
anger,571
pneumonia streptococcal,572
malignant transformation,573
viral upper respiratory tract infection,574
anal sphincterotomy,575
gastric infection,576
maxillary antrum operation,577
anal dilatation,578
vascular encephalopathy,579
hereditary angioedema,580
blood potassium,581
biopsy breast abnormal,582
blood product transfusion,583
cinchonism,584
purple glove syndrome,585
incision site erythema,586
bifascicular block,587
congenital jaw malformation,588
urine cotinine test positive,589
uterovaginal prolapse,590
ileostomy closure,591
pulmonary sequestration,592
periventricular leukomalacia,593
lip swelling,594
sinus tachycardia,595
parent-child problem,596
mole excision,597
intestinal mucosal hypertrophy,598
amniotic band syndrome,599
overwork,600
lipodystrophy acquired,601
injection site induration,602
dural fistula,603
paresis anal sphincter,604
vertebroplasty,605
blood antidiuretic hormone,606
bile duct necrosis,607
bladder irrigation,608
tardive dyskinesia,609
mucous membrane disorder,610
oxygen saturation increased,611
anti-insulin antibody positive,612
lyell,613
adrenocortical insufficiency chronic,614
blood iron decreased,615
shared psychotic disorder,616
thyroid disease,617
soft tissue inflammation,618
appendectomy,619
platelet count abnormal,620
blood ketone body,621
congenital mitral valve incompetence,622
blood luteinising hormone decreased,623
portal venous gas,624
axillary mass,625
testicular disorder,626
vocal cord disorder,627
cytomegalovirus gastrointestinal infection,628
catheter site bruise,629
pseudophaeochromocytoma,630
device dislocation,631
ostectomy,632
anion gap abnormal,633
respiratory depth increased,634
neonatal respiratory failure,635
pharmaceutical product complaint,636
house dust allergy,637
enterobiasis,638
haematocolpos,639
echocardiogram abnormal,640
suture insertion,641
congenital anomaly of inner ear,642
enterococcal bacteraemia,643
inflammatory bowel disease,644
renal amyloidosis,645
benign breast neoplasm,646
mean cell volume decreased,647
aspiration tracheal abnormal,648
instillation site irritation,649
metastases to spleen,650
nodal osteoarthritis,651
pathogen resistance,652
impaired gastric emptying,653
leukoencephalopathy,654
retinal aneurysm,655
cryptogenic organising pneumonia,656
cyclothymic disorder,657
cerebral decompression,658
chicken pox,659
elder abuse,660
otitis externa fungal,661
blood prolactin increased,662
laryngeal mass,663
fluid retention,664
oestrogenic effect,665
faecal volume decreased,666
glutamate dehydrogenase increased,667
xerophthalmia,668
dental pulp disorder,669
arterial catheterisation,670
pco2 increased,671
impaired fasting glucose,672
leiomyosarcoma,673
blood osmolarity increased,674
histiocytosis haematophagic,675
injection site macule,676
transurethral bladder resection,677
rash maculovesicular,678
immune reconstitution syndrome,679
mammary duct ectasia,680
pyopneumothorax,681
reduced dexterity,682
angiofibroma,683
gamma radiation therapy to brain,684
mucosal infection,685
mod,686
head lag,687
tracheal neoplasm,688
anticonvulsant drug level abnormal,689
anti-hbc igg antibody positive,690
hyperparathyroidism secondary,691
hyperchlorhydria,692
alpha globulin increased,693
anal fistula,694
chest infection,695
biopsy thyroid gland abnormal,696
blood cholinesterase,697
lung lobectomy,698
fistula discharge,699
hypoglycaemia,700
retinal oedema,701
increased bronchial secretion,702
cervix haemorrhage uterine,703
urticaria papular,704
drug withdrawal syndrome neonatal,705
tumour invasion,706
dysphonia,707
rectal polypectomy,708
toxic dilatation of intestine,709
cancer,710
pyoderma,711
infertility female,712
post procedural stroke,713
male contraception,714
coagulation factor v level decreased,715
vaginal mucosal blistering,716
spina bifida occulta,717
cardiac enlargement,718
anal sphincter atony,719
aspiration pleural cavity,720
lumbar spinal stenosis,721
urinary occult blood positive,722
uvulectomy,723
antinuclear antibody positive,724
renal scan abnormal,725
kyphosis,726
bone density increased,727
myocardial depression,728
oestrogen deficiency,729
packed red blood cell transfusion,730
urine sodium,731
hypertonic bladder,732
dermatitis infected,733
scan lymph nodes,734
lip discolouration,735
voyeurism,736
bradycardia,737
seroma,738
neutrophil count decreased,739
gastric ulcer surgery,740
muscle spasm,741
obsessive thoughts,742
"incisional hernia, obstructive",743
cyanopsia,744
post procedural discharge,745
hydronephrosis,746
renal haematoma,747
thymoma,748
nail hypertrophy,749
dialysis device complication,750
burns third degree,751
gastrointestinal mucosal necrosis,752
congenital vesicoureteric reflux,753
viral haemorrhagic cystitis,754
brachycephaly,755
truncus arteriosus persistent,756
vessel puncture site pain,757
eye operation,758
protein-losing gastroenteropathy,759
urine sodium normal,760
panophthalmitis,761
lymph nodes scan abnormal,762
epidermal growth factor receptor increased,763
radial tunnel syndrome,764
vulvovaginal mycotic infection,765
myocardial calcification,766
arthritis rheumatoid,767
blood alkaline phosphatase decreased,768
histology,769
gastrointestinal ulcer,770
granuloma annulare,771
antibiotic level below therapeutic,772
ehlers-danlos syndrome,773
kwashiorkor,774
oesophagitis ulcerative,775
diet refusal,776
removal of transplanted organ,777
penile prosthesis user,778
ureteral disorder,779
excessive granulation tissue,780
enterocele,781
electric shock,782
palmar-plantar erythrodysaesthesia syndrome,783
infected lymphocele,784
swollen tongue,785
seminal vesiculitis,786
nephrostomy tube placement,787
b-cell lymphoma stage i,788
haematuria,789
psychiatric decompensation,790
eye excision,791
infection,792
amnesia,793
blurred vision,794
drug prescribing error,795
sepsis syndrome,796
aortic stenosis,797
blood albumin increased,798
gastrointestinal mucosal disorder,799
dislocation,800
haemorrhagic diathesis,801
congenital toxoplasmosis,802
eyelid irritation,803
femoral pulse,804
cataract diabetic,805
disability,806
small intestine carcinoma metastatic,807
becker's muscular dystrophy,808
portal vein pressure increased,809
drug dependence,810
lymph gland infection,811
basophil percentage decreased,812
aphthous stomatitis,813
meningoradiculitis,814
blood magnesium increased,815
drug chemical incompatibility,816
mycobacterium abscessus infection,817
gastroduodenitis,818
glucose tolerance test abnormal,819
eosinophilic cystitis,820
hepatic cyst ruptured,821
malignant neoplasm progression,822
calculus bladder,823
hbv dna increased,824
paracoccidioides infection,825
urine potassium increased,826
felty's syndrome,827
salivary gland inflammation,828
t-lymphocyte count decreased,829
parotid duct obstruction,830
breast microcalcification,831
myringotomy,832
pancreas transplant,833
mononucleosis syndrome,834
qrs axis abnormal,835
bone formation decreased,836
pneumonia adenoviral,837
cardiac death,838
anti-hbc antibody,839
inflammation,840
sarcomatosis,841
diabetes mellitus malnutrition-related,842
gastrointestinal injury,843
urogenital haemorrhage,844
facial paresis,845
hodgkin's disease mixed cellularity stage iv,846
neumonia,847
carotid artery stenosis,848
myocardial haemorrhage,849
csf immunoglobulin increased,850
pulmonary infarction,851
jaw inflammation,852
disabled relative,853
hernia inguinal,854
csf protein,855
abnormal dreams,856
vasectomy,857
aspartate aminotransferase normal,858
urinary bladder rupture,859
leukocyturia,860
electrocardiogram low voltage,861
dyspnoea,862
allergy test positive,863
testicular haemorrhage,864
vertebrobasilar insufficiency,865
pallanaesthesia,866
blood electrolytes decreased,867
cerebral circulatory failure,868
aortogram abnormal,869
oesophageal candidiasis,870
enterocolitis viral,871
oesophagitis haemorrhagic,872
pseudobulbar palsy,873
ventricular septal defect acquired,874
respiratory depression,875
trigeminal nerve disorder,876
acute hiv infection,877
salpingo-oophoritis,878
oral pruritus,879
hypovolaemic shock,880
focal glomerulosclerosis,881
neurological symptom,882
brain natriuretic peptide,883
peritoneal dialysis complication,884
congenital naevus,885
gallbladder injury,886
arterial thrombosis limb,887
loss of consciousness,888
anti-erythrocyte antibody positive,889
plasma viscosity decreased,890
mesenteric fibrosis,891
chronic lymphocytic leukaemia transformation,892
ossicle disorder,893
complication of device removal,894
blood homocysteine,895
onychomycosis,896
induced abortion failed,897
blood aluminium abnormal,898
radiotherapy to brain,899
macular hole,900
morose,901
pneumococcal infection,902
nerve conduction studies abnormal,903
immunisation,904
sneezing,905
vulvovaginal adenosis,906
cervicalgia,907
keratitis interstitial,908
graft versus host disease in intestine,909
haemorrhoids,910
gastric polyps,911
extrasystoles,912
antithrombin iii deficiency,913
laparoscopic surgery,914
ductus arteriosus premature closure,915
capillary fragility increased,916
hemiplegia,917
nematodiasis,918
low density lipoprotein decreased,919
hepatic cancer,920
iridotomy,921
angle closure glaucoma,922
malocclusion,923
adenopathy,924
free fatty acids increased,925
thought insertion,926
weight gain poor,927
acarodermatitis,928
flushing,929
arterial bypass operation,930
nodule skin,931
therapeutic response prolonged,932
lewis-sumner syndrome,933
anaphylactic transfusion reaction,934
relapsing fever,935
situs ambiguous,936
blood 25-hydroxycholecalciferol decreased,937
ventricular tachycardia,938
anterior chamber inflammation,939
necrobiosis lipoidica diabeticorum,940
haematocrit decreased,941
ulnar neuritis,942
anaemia of pregnancy,943
liver transplant,944
acid base balance abnormal,945
colorectal cancer recurrent,946
congenital hyperextension of spine,947
bleeding gums,948
testicular injury,949
platelet production decreased,950
myasthenic syndrome,951
burnout syndrome,952
breast inflammation,953
mania,954
anti-erythropoietin antibody,955
hepatitis acute,956
biopsy muscle abnormal,957
reversible posterior leukoencephalopathy syndrome,958
eyelid oedema,959
malignant neoplasm of renal pelvis,960
metastases to trachea,961
hypertonia,962
sphincter of oddi dysfunction,963
cyst,964
infected cyst,965
venous stenosis,966
herpes oesophagitis,967
injection site irritation,968
urine colour abnormal,969
artery dissection,970
superficial injury of eye,971
diverticulitis,972
blood erythropoietin decreased,973
pharyngolaryngeal discomfort,974
lipase urine increased,975
blood urine present,976
ovarian infection,977
ultrasound kidney,978
hypertrophy of tongue papillae,979
injection site nodule,980
spleen operation,981
cystic lymphangioma,982
delayed effects of radiation,983
factor v leiden mutation,984
nocturia,985
tracheal pain,986
oesophageal irritation,987
electrocardiogram poor r-wave progression,988
cystitis bacterial,989
rhinalgia,990
hiv infection cdc category b3,991
intentional self-injury,992
joint fluid drainage,993
phonophobia,994
intravascular papillary endothelial hyperplasia,995
brain abscess,996
glomerulonephritis,997
blood fibrinogen abnormal,998
sluggishness,999
contracture,1000
prominent epicanthal folds,1001
amniorrhoea,1002
endocardial disease,1003
pharyngeal cyst,1004
ammonia abnormal,1005
tonic clonic movements,1006
calculus prostatic,1007
haemorrhage intracranial,1008
rheumatoid lung,1009
social phobia,1010
intestinal malrotation,1011
injection site cyst,1012
necrotising fasciitis,1013
hypovolaemia,1014
benign ovarian tumour,1015
premature menopause,1016
threatened labour,1017
retinogram abnormal,1018
carotidynia,1019
gastric cancer,1020
right ventricular hypertrophy,1021
alanine aminotransferase,1022
calcium deficiency,1023
meningococcal infection,1024
blood glucagon abnormal,1025
hypoglobulinaemia,1026
single functional kidney,1027
emprosthotonus,1028
neurilemmoma,1029
als,1030
lung transplant,1031
joint crepitation,1032
pulmonary arterial pressure,1033
cold type haemolytic anaemia,1034
renal lymphocele,1035
belligerence,1036
sinus arrhythmia,1037
optic disc disorder,1038
paroxysmal nocturnal haemoglobinuria,1039
cautery to nose,1040
gastrointestinal bleed,1041
arachnoiditis,1042
extrinsic vascular compression,1043
bone marrow necrosis,1044
malignant lymphoid neoplasm,1045
feeding tube complication,1046
hyperlipasaemia,1047
malignant peritoneal neoplasm,1048
congenital cytomegalovirus infection,1049
encephalopathy,1050
urinary tract pain,1051
blood calcium decreased,1052
uterine atony,1053
kidney enlargement,1054
haemophilus bacteraemia,1055
alternaria infection,1056
mixed liver injury,1057
parotid gland inflammation,1058
oedema due to hepatic disease,1059
adenosquamous carcinoma of the cervix,1060
cerebrovascular spasm,1061
blood glucagon increased,1062
attention deficit/hyperactivity disorder,1063
burn of internal organs,1064
nose deformity,1065
monocytosis,1066
tongue neoplasm,1067
spinning sensation,1068
post procedural hypothyroidism,1069
endometrial cancer stage ii,1070
bacteraemia,1071
henoch-schonlein purpura,1072
female reproductive neoplasm,1073
inappropriate schedule of drug administration,1074
micturition disorder,1075
hepatic cancer metastatic,1076
injury,1077
xanthopsia,1078
fear of eating,1079
exostosis,1080
lactase deficiency,1081
pneumothorax spontaneous tension,1082
bladder neck operation,1083
respiratory tract haemorrhage,1084
cd4 lymphocytes abnormal,1085
incision site infection,1086
learning disorder,1087
genital disorder female,1088
blood iron abnormal,1089
abscess rupture,1090
post gastric surgery syndrome,1091
fear of falling,1092
mitochondrial myopathy acquired,1093
urine ketone body,1094
"delusional disorder, erotomanic type",1095
blepharal pigmentation,1096
soft tissue disorder,1097
coronary artery perforation,1098
blood bicarbonate,1099
heart alternation,1100
bronchitis bacterial,1101
oral mucosal discolouration,1102
mean arterial pressure,1103
tongue spasm,1104
neoplasm of thymus,1105
differential white blood cell count,1106
catheter site necrosis,1107
subileus,1108
glomus tumour,1109
post nasal drip,1110
glomerular filtration rate abnormal,1111
urine viscosity increased,1112
gallbladder fistula,1113
epstein-barr virus antigen positive,1114
hypoplastic anaemia,1115
embolism arterial,1116
respiratory tract infection viral,1117
implant site thrombosis,1118
endocrine neoplasm malignant,1119
drug intolerance,1120
external ear disorder,1121
non-hodgkin's lymphoma refractory,1122
refractory anaemia with an excess of blasts,1123
cardiac valve replacement complication,1124
localised skin reaction,1125
communication disorder,1126
neonatal disorder,1127
congenital neurological disorder,1128
congenital tracheomalacia,1129
amalgam tattoo,1130
high frequency ablation,1131
disease progression,1132
burglary victim,1133
aspiration pneumonia,1134
thymus enlargement,1135
moaning,1136
life expectancy shortened,1137
cardiac tamponade,1138
peripheral paralysis,1139
hepatocellular damage,1140
blepharophimosis,1141
gastrointestinal telangiectasia,1142
cerebral arteriovenous malformation haemorrhagic,1143
reproductive toxicity,1144
device related infection,1145
facial dysmorphism,1146
venoocclusive disease,1147
penile infection,1148
coronary artery disease,1149
albinism,1150
encephalitis cytomegalovirus,1151
aorto-oesophageal fistula,1152
retinal neovascularisation,1153
musculoskeletal chest pain,1154
knee deformity,1155
drug diversion,1156
erythema induratum,1157
incorrect dose administered,1158
rib deformity,1159
skeletal injury,1160
visual acuity reduced,1161
hypercreatininaemia,1162
inflammatory pain,1163
incomplete precocious puberty,1164
pericardial rub,1165
sepsis,1166
bronchoplasty,1167
tuberous sclerosis,1168
cryoglobulinaemia,1169
nutritional condition abnormal,1170
alopecia,1171
retroperitoneal infection,1172
partial seizures with secondary generalisation,1173
bronchostenosis,1174
fumbling,1175
lymphangiectasia,1176
postoperative abscess,1177
brain mass,1178
pleural adhesion,1179
vagal nerve stimulator implantation,1180
sinus pain,1181
actinomycotic skin infection,1182
drug abuser,1183
candidiasis of mouth,1184
human anti-mouse antibody positive,1185
choledochal cyst,1186
muscle twitching,1187
osteoporosis,1188
anorexia,1189
acute respiratory distress syndrome,1190
congenital ectopic bladder,1191
urine chloride increased,1192
hydrops foetalis,1193
mucosal necrosis,1194
blood hiv rna decreased,1195
reperfusion arrhythmia,1196
dehydroepiandrosterone decreased,1197
syphilis genital,1198
intestinal adenocarcinoma,1199
rheumatoid factor positive,1200
hearing disability,1201
pleural infection,1202
hepaplastin abnormal,1203
pulmonary pneumatocele,1204
biopsy mucosa abnormal,1205
calcium ionised abnormal,1206
penile abscess,1207
mechanical ventilation complication,1208
laziness,1209
eye haemorrhage,1210
muscle tightness,1211
tooth discolouration,1212
vulvar erosion,1213
injection site stinging,1214
electrocardiogram st segment elevation,1215
blood creatine phosphokinase increased,1216
synovial fluid analysis abnormal,1217
cataract cortical,1218
injection site discharge,1219
